Series Name,Series Code,Country Name,Country Code,2013 [YR2013],DisasterRiskReductionProgressScoreWorldBankData
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,60.93141463,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,77.5372439,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Algeria,DZA,71.00965854,3.5
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,ADO,..,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,51.86617073,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,75.82929268,2.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,76.18729268,3.25
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,74.5407561,3
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,75.33217073,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,82.19756098,4
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,80.8902439,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,70.69314634,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,75.07256098,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,76.66987805,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,70.69339024,4
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Barbados,BRB,75.29641463,4
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belarus,BLR,72.47073171,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,80.38536585,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belize,BLZ,73.90487805,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Benin,BEN,59.28756098,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bermuda,BMU,80.57243902,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bhutan,BTN,68.30231707,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bolivia,BOL,67.21736585,2.25
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bosnia and Herzegovina,BIH,76.27990244,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Botswana,BWA,47.40560976,3
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brazil,BRA,73.88595122,4.5
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Brunei Darussalam,BRN,78.56643902,2.75
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bulgaria,BGR,74.46585366,3.5
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burkina Faso,BFA,56.27502439,..
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burundi,BDI,54.09719512,3.25
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cabo Verde,CPV,74.87068293,3.5
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Cambodia,KHM,71.74756098,..
